A,B,C
127.41249408346259,76.26194387631939,122.27252003214991
132.81601746863572,74.5653735006556,126.72505194846039
134.05801344482956,78.04208444963594,130.06057050286688
136.2240470871855,78.46571466757744,130.78449215387212
133.22156668370448,78.38254881619345,129.61816731305126
135.35187710300517,79.95700300574678,134.2572795969292
134.3986931136714,81.82640350283721,136.99677323404418
135.78069683821093,83.24473245546788,139.66200565231455
139.5409882576794,83.90712291713324,140.3581771889803
140.07763914748486,80.84226856877034,143.64902514948824
