A,B,C
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
"{'C': 0.0, 'B': 1.3322676295501878e-15}","{'A': 6.833243542875694, 'C': 4.440892098500626e-16}","{'A': 1.7763568394002505e-15, 'B': -2.220446049250313e-16}"
