A,B,C
44.792383582889705,34.90399566040906,34.2364710108091
70.02940596972657,23.150857091401477,16.54357501466128
73.66435908928766,19.515739507974867,20.720189259592484
81.18589801326925,16.764622027966922,21.124455388516598
80.35413140126857,20.703228332911024,27.052454561499196
81.01405173227921,18.0452486731074,26.755594738004724
85.48541642430445,16.2135041063263,26.19784124180309
89.10093032350268,15.530469931446573,22.95258505947848
88.23379650484372,15.81682123549406,29.178947291814705
82.67380390290857,26.515523641625073,26.439081385505155
